Name	Team	G	GS	CG	SHO	QS	TBF	H	2B	3B	HR	R	ER	K	BB	IBB	HBP	WP	BK	IP
권오준	삼성	30	0	0	0	0	131	33	9	0	5	27	25	24	9	1	5	2	0	28
최영필	KIA	59	0	0	0	0	247	57	8	0	8	23	20	51	8	0	2	1	0	63
장현식	NC	2	0	0	0	0	11	3	0	0	0	2	2	3	2	0	0	0	0	2
양현	두산	13	0	0	0	0	50	19	1	1	2	7	6	7	0	0	3	0	0	10.1
김용주	한화	2	2	0	0	0	33	4	1	0	0	3	3	3	6	0	0	0	0	8
김광삼	LG	4	4	0	0	0	72	16	2	0	2	13	10	11	9	0	1	0	0	15.2
박진형	롯데	2	0	0	0	0	6	2	1	0	0	0	0	1	0	0	0	0	0	1.1
김준	KIA	6	0	0	0	0	20	6	2	0	0	2	1	1	2	0	0	0	0	4.1
한기주	KIA	7	0	0	0	0	39	11	1	1	0	4	3	4	5	0	0	0	0	8.1
김명찬	KIA	3	0	0	0	0	16	4	0	0	0	0	0	2	1	0	1	1	0	4
구본범	한화	3	0	0	0	0	6	0	0	0	0	0	0	1	2	0	0	1	0	1
오장훈	두산	1	0	0	0	0	5	1	0	0	0	0	0	2	1	0	0	0	0	1
이승호	NC	1	1	0	0	0	7	3	1	0	0	4	4	1	1	0	0	0	0	1
박한길	한화	10	0	0	0	0	71	17	5	0	0	13	13	9	12	1	2	2	0	13.2
이정훈	넥센	2	0	0	0	0	9	3	0	0	0	2	1	0	0	0	0	0	0	2
허준혁	롯데	3	0	0	0	0	12	6	2	0	0	5	4	0	0	0	0	0	0	1.2
차재용	롯데	2	0	0	0	0	6	0	0	0	0	2	0	0	1	0	0	0	0	1.1
윤석주	SK	1	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	1.1
조영우	한화	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
김정인	넥센	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1
정광운	한화	2	0	0	0	0	7	2	0	0	0	1	1	1	1	0	0	0	0	1.1
윤강민	NC	2	0	0	0	0	8	2	0	0	0	5	5	1	3	0	1	0	0	1
문수호	NC	2	0	0	0	0	2	1	0	0	0	1	1	0	1	0	0	0	0	0
임경완	한화	1	0	0	0	0	2	0	0	0	0	1	1	0	2	0	0	0	0	0
이혜천	NC	29	0	0	0	0	74	15	2	0	3	11	10	10	7	0	2	1	0	17.1
이창욱	SK	2	0	0	0	0	13	2	0	0	0	2	2	1	2	0	0	2	0	3
구자형	넥센	3	0	0	0	0	13	4	1	0	0	3	3	1	2	0	0	0	0	2.2
금민철	넥센	7	5	0	0	0	104	25	4	0	2	11	11	11	14	0	2	0	0	22
허유강	한화	5	0	0	0	0	12	1	1	0	0	3	3	1	2	0	2	1	0	2.2
김건한	삼성	16	1	0	0	0	83	26	7	0	1	11	11	6	8	0	1	0	0	16.1
최영환	한화	1	0	0	0	0	8	2	1	0	0	2	0	1	2	0	0	0	0	1.1
이대환	NC	1	0	0	0	0	4	2	0	1	0	2	2	0	0	0	1	0	0	0.1
김기표	kt	14	0	0	0	0	43	11	2	0	2	7	7	6	2	0	1	1	1	10.1
김태훈	SK	1	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0.1
이용호	두산	2	0	0	0	0	5	2	2	0	0	3	3	0	2	0	0	0	0	0.1
배재환	NC	1	0	0	0	0	7	1	0	0	0	2	2	2	3	0	0	0	0	1
조현우	롯데	3	0	0	0	0	15	3	1	0	2	3	2	4	1	0	0	0	0	4
황덕균	kt	3	0	0	0	0	16	0	0	0	0	3	3	2	5	0	0	0	0	3.2
이한진	SK	3	0	0	0	0	24	4	0	0	0	3	2	1	5	0	0	0	0	4.2
마일영	한화	2	0	0	0	0	5	0	0	0	0	1	0	0	1	0	1	0	0	0.1
문재현	한화	2	0	0	0	0	5	1	0	0	0	2	2	0	3	0	0	0	0	0.1
이재영	SK	26	0	0	0	0	145	36	12	1	4	18	16	26	13	0	3	1	0	31
마정길	넥센	35	0	0	0	0	166	36	9	0	4	22	21	33	17	0	6	1	0	37.1
이경우	롯데	1	0	0	0	0	8	2	1	0	1	2	2	0	1	0	0	0	0	1.2
신창호	KIA	5	0	0	0	0	25	4	0	0	1	5	5	4	4	0	0	0	0	5.2
정재훈	롯데	10	0	0	0	0	40	16	2	0	1	8	5	5	6	0	0	0	0	6.1
변진수	두산	1	0	0	0	0	9	1	0	0	0	2	2	1	3	0	1	2	0	1.2
유원상	LG	25	0	0	0	0	163	44	9	1	6	26	23	22	12	1	2	2	0	37
홍성무	kt	23	0	0	0	0	121	31	4	0	5	15	15	22	9	0	1	0	0	28
정회찬	넥센	1	0	0	0	0	6	2	0	0	1	1	1	1	1	0	0	0	0	1
윤기호	한화	3	0	0	0	0	10	2	0	0	1	2	2	0	1	0	0	0	0	2.2
박민호	SK	20	0	0	0	0	116	26	4	0	4	18	13	12	9	0	2	0	0	27.1
김정훈	넥센	13	1	0	0	0	79	20	5	0	2	14	12	11	10	0	3	4	0	15.1
박종기	두산	3	0	0	0	0	13	4	1	0	1	3	3	2	3	0	0	0	0	2.1
김기현	한화	54	0	0	0	0	187	36	6	1	5	20	20	32	30	1	3	5	0	41.1
이윤학	kt	2	0	0	0	0	20	9	3	0	2	8	8	4	2	0	0	0	0	3
이종석	KIA	2	0	0	0	0	24	10	2	0	2	8	7	3	2	0	0	0	0	4
김선규	LG	31	0	0	0	0	136	34	4	1	5	12	11	19	10	2	2	1	0	31.2
남경호	두산	5	0	0	0	0	40	5	1	0	2	7	6	10	7	0	1	0	0	9
고창성	NC	6	0	0	0	0	47	11	3	0	1	4	4	3	4	0	2	1	0	9.2
정재원	한화	3	0	0	0	0	19	5	0	0	2	5	5	4	3	0	0	0	0	4
이정민	롯데	34	0	0	0	0	212	59	10	0	4	34	29	36	31	2	2	7	0	44.2
김수완	두산	9	2	0	0	1	80	22	6	1	4	15	15	13	9	0	3	0	0	15.1
심재민	kt	50	1	0	0	0	270	68	11	0	3	45	43	29	42	3	6	9	0	56.1
심규범	롯데	16	0	0	0	0	31	7	0	0	1	5	5	6	6	1	0	0	0	6.1
김현우	삼성	11	0	0	0	0	55	14	3	1	5	10	10	14	5	0	1	0	0	12.1
임현준	삼성	7	0	0	0	0	33	11	3	1	3	10	8	6	2	0	0	1	0	6.1
장민재	한화	4	0	0	0	0	25	9	1	1	1	8	8	3	7	1	0	2	0	4
장필준	삼성	2	1	0	0	0	22	10	2	0	2	7	7	4	0	0	0	0	0	4
