
이대형	kt	140	616	546	165	139	23	3	0	86	37	53	0	6	92	1	10	5	44	14	0.302
정상호	SK	113	324	279	71	47	11	1	12	34	49	22	0	15	80	0	8	2	1	2	0.254
정수빈	두산	128	570	491	145	109	27	7	2	79	59	43	1	11	70	6	25	9	15	10	0.295
정성훈	LG	117	440	363	103	77	16	1	9	47	45	54	4	13	65	4	10	9	9	4	0.284
박건우	두산	70	175	158	54	37	12	0	5	31	26	12	0	3	29	0	2	2	2	1	0.342
박정권	SK	124	494	438	123	79	23	0	21	66	70	46	1	4	119	2	6	9	3	3	0.281
김원섭	KIA	110	341	277	74	53	13	3	5	45	33	53	0	3	46	2	8	5	8	5	0.267
유강남	LG	126	313	279	76	56	11	1	8	26	37	19	0	7	55	1	8	10	2	1	0.272
이병규(7)	LG	70	277	230	56	34	9	1	12	42	35	43	2	3	83	0	1	4	2	1	0.243
김종호	NC	133	486	424	125	98	16	7	4	90	36	44	0	4	65	3	13	10	41	10	0.295
조영훈	NC	103	146	124	35	19	8	0	8	20	35	19	0	0	36	2	3	2	3	0	0.282
이명기	SK	137	582	521	164	129	30	2	3	88	35	35	0	11	86	3	13	7	22	10	0.315
서상우	LG	58	171	159	54	40	8	0	6	29	22	9	0	3	31	0	0	2	5	1	0.34
고종욱	넥센	119	443	407	126	87	25	4	10	81	51	25	1	6	81	1	5	10	22	14	0.31
손시헌	NC	140	508	440	108	69	24	2	13	56	58	36	0	14	66	5	18	15	3	2	0.245
이종욱	NC	125	504	440	118	86	25	2	5	63	52	54	6	3	78	2	6	5	17	4	0.268
백용환	KIA	65	177	154	36	20	6	0	10	22	30	19	0	1	47	3	3	5	3	1	0.234
박헌도	넥센	108	267	218	54	33	13	0	8	31	42	37	0	7	53	2	5	6	0	2	0.248
최주환	두산	100	270	238	67	44	16	2	5	34	32	25	2	3	34	1	4	6	0	3	0.282
한나한	LG	32	126	107	35	22	9	0	4	17	22	13	0	2	31	3	4	4	0	0	0.327
박기혁	kt	126	350	300	84	69	13	1	1	27	30	30	0	3	84	1	17	10	3	0	0.28
임훈	LG	55	215	183	55	42	11	1	1	34	15	19	0	7	31	1	6	2	2	2	0.301
모창민	NC	103	239	214	62	42	14	0	6	23	35	18	0	0	52	3	7	5	5	0	0.29
장성우	롯데	22	56	49	12	6	2	1	3	4	12	5	0	0	12	1	2	3	0	0	0.245
김회성	한화	83	268	225	47	19	10	2	16	36	35	28	0	10	58	2	4	4	2	3	0.209
나지완	KIA	116	368	304	77	54	16	0	7	34	31	46	3	16	79	2	2	10	3	1	0.253
김문호	롯데	93	325	288	88	71	13	0	4	35	31	25	0	4	45	1	7	11	8	5	0.306
이지영	삼성	124	400	361	110	98	10	1	1	36	55	14	0	4	32	5	21	10	1	2	0.305
진갑용*	삼성	39	73	68	22	17	2	0	3	8	10	4	0	0	9	1	1	3	0	0	0.324
장성호	kt	49	114	94	29	24	4	0	1	11	16	17	0	2	15	1	1	3	1	0	0.309
안익훈	LG	50	74	62	21	18	2	1	0	9	3	9	0	0	10	0	3	1	1	1	0.339
지석훈	NC	137	466	415	111	85	15	0	11	53	46	23	0	16	85	3	11	9	4	1	0.267
고영민	두산	41	77	67	22	18	1	0	3	13	11	6	0	3	22	1	1	4	4	2	0.328
김선민	kt	23	38	35	15	13	2	0	0	2	3	2	0	0	6	1	1	0	1	0	0.429
용덕한	NC	50	49	42	12	11	1	0	0	4	5	5	0	1	8	0	1	2	2	1	0.286
정현석	한화	43	133	116	36	29	6	0	1	20	12	13	1	2	24	0	2	3	0	0	0.31
오승택	롯데	122	353	327	90	63	18	1	8	57	43	17	0	4	100	1	5	8	15	4	0.275
폭스	한화	38	121	108	30	19	4	0	7	16	25	8	1	3	27	2	2	9	0	0	0.278
강경학	한화	120	376	311	80	67	7	4	2	50	27	40	1	5	58	3	19	3	4	3	0.257
박진만	SK	78	162	133	33	26	5	0	2	12	14	23	1	4	21	0	2	3	0	2	0.248
최희섭	KIA	42	149	125	32	23	3	0	6	18	20	22	0	1	34	1	1	2	0	0	0.256
최재원	NC	114	102	85	21	11	8	0	2	31	13	10	0	6	29	0	1	1	14	5	0.247
로메로	두산	76	305	265	67	39	16	0	12	30	50	29	1	4	48	7	7	8	2	0	0.253
안중열	롯데	60	109	98	26	16	9	0	1	15	13	6	0	0	26	1	5	3	1	0	0.265
박정준	NC	19	24	21	8	6	2	0	0	2	2	0	0	3	5	0	0	0	0	0	0.381
김태군	NC	144	474	421	107	77	24	0	6	45	52	25	0	10	77	7	18	11	1	1	0.254
조인성	한화	106	310	276	64	42	11	0	11	33	44	16	0	6	89	1	9	5	0	0	0.232
백창수	LG	25	36	31	10	6	4	0	0	4	0	3	0	0	3	0	2	0	0	0	0.323
하준호	kt	68	249	218	59	45	9	0	5	30	25	21	1	7	59	1	3	2	10	3	0.271
오정복	kt	66	278	239	62	45	11	1	5	34	29	33	0	3	26	1	2	3	3	3	0.259
김민하	롯데	54	141	116	28	21	6	0	1	18	8	18	0	4	40	0	3	4	4	2	0.241
이홍구	KIA	112	246	222	48	25	10	1	12	25	39	12	1	7	64	0	4	3	1	0	0.216
